74,49,7,58,48,86,108,95,106,31
30,53,106,62,10,36,111,72,99,86
36,53,107,64,67,13,43,112,48,65
86,51,99,79,80,31,77,40,78,13
77,39,87,7,78,83,121,4,81,98
63,39,96,84,79,120,64,92,41,53
12,121,114,110,51,79,66,7,9,10
72,68,108,51,86,100,13,17,31,12
43,53,63,68,7,19,90,2,42,17
49,121,93,33,13,31,96,35,126,80
65,10,43,112,38,120,49,33,90,12
4,31,76,88,96,68,23,93,126,2
73,96,39,121,79,95,111,126,17,33
33,39,7,67,63,38,66,48,86,13
15,120,94,86,3,39,10,9,79,49
86,129,39,3,114,53,8,100,64,46
86,13,70,112,96,39,2,126,67,68
67,45,71,36,112,96,86,121,23,63
129,66,48,86,17,56,109,19,30,120
128,64,120,12,106,38,13,58,126,10
93,120,43,129,111,44,126,68,110,49
120,111,36,95,100,1,65,96,87,52
114,36,121,96,86,19,120,30,87,32
86,59,111,2,39,42,90,120,51,46
23,43,7,90,77,126,53,95,100,86
126,2,110,77,87,90,38,107,63,73
52,58,73,51,49,126,111,11,43,86
25,58,121,114,49,51,15,79,98,95
86,58,39,49,32,79,111,46,129,43
114,19,79,106,38,60,9,84,6,80
54,110,45,121,7,100,56,84,80,25
10,119,126,112,16,100,9,121,8,26
65,84,54,49,79,72,78,92,28,20
22,95,111,65,7,20,43,5,102,81
44,108,106,111,53,87,3,114,12,120
129,10,79,45,111,88,112,65,13,95
106,129,86,32,121,51,68,10,95,120
49,129,101,79,126,15,83,96,86,12
120,86,31,4,13,41,39,107,121,98
77,121,126,107,36,90,119,99,129,94
77,39,30,48,106,98,107,114,121,99
68,9,29,54,49,65,25,51,109,66
27,18,90,99,126,36,12,129,75,20
7,12,39,20,50,86,38,73,23,66
109,39,104,66,51,7,43,22,58,106
64,49,89,9,25,38,11,73,58,20
32,96,63,39,121,49,65,95,110,120
121,86,120,49,95,53,77,112,107,15
100,110,129,53,11,99,10,121,25,120
63,36,89,126,45,119,111,12,129,11
53,111,39,4,126,100,63,96,23,121
129,43,79,10,3,8,121,34,69,63
12,121,53,126,88,63,129,41,95,5
7,10,66,38,77,19,126,65,103,95
53,10,111,13,7,106,79,46,19,33
7,98,83,77,52,17,30,36,32,58
42,53,66,43,107,47,17,89,2,128
78,121,44,40,106,74,84,49,56,100
121,104,13,79,77,106,3,101,95,36
15,38,13,84,9,16,86,49,93,111
95,104,86,102,6,64,101,96,11,42
19,90,104,114,17,9,79,106,36,8
60,87,121,46,70,96,77,86,17,75
80,31,106,86,71,32,51,121,36,126
114,31,39,86,71,8,79,121,45,96
11,100,21,106,90,88,10,36,111,43
47,9,129,114,121,39,48,98,31,106
49,79,9,65,1,10,7,45,110,77
38,107,65,1,49,80,10,111,45,19
101,53,120,49,10,11,110,95,100,45
63,17,120,43,121,79,106,55,88,12
32,121,47,17,49,19,56,98,90,18
121,126,47,59,67,11,106,129,90,101
72,43,29,9,83,15,53,86,120,51
101,79,104,12,49,54,51,9,46,96
12,36,52,7,111,90,33,120,89,43
29,52,9,111,95,66,104,44,100,25
111,21,9,95,129,31,15,70,38,121
53,90,106,23,100,2,70,111,72,9
11,28,3,9,8,57,87,106,90,95
7,25,33,105,67,129,73,101,21,112
53,64,70,65,36,126,121,102,74,98
53,44,51,64,75,79,9,73,99,126
74,121,126,9,41,43,12,79,107,120
56,72,90,39,14,110,67,121,129,23
104,49,106,100,121,42,13,129,79,15
86,70,126,98,111,129,17,3,2,72
2,121,9,12,17,79,126,73,52,38
30,108,105,43,8,53,102,86,106,84
53,70,104,100,106,107,67,110,58,77
126,102,90,111,72,7,121,17,65,4
107,20,98,12,106,86,129,79,10,114
7,23,63,68,42,86,79,62,41,17
110,49,87,46,2,39,126,129,33,128
2,105,8,43,112,129,110,126,73,128
105,74,126,2,70,90,106,108,23,42
83,32,39,102,126,121,106,120,49,86
90,62,114,128,106,121,49,58,32,53
120,36,3,10,7,119,121,38,106,114
38,51,48,58,39,87,7,98,23,89
128,70,59,112,98,90,48,17,49,37
53,33,100,72,87,121,3,17,96,32
98,83,79,11,48,45,32,96,121,39
120,3,39,81,30,62,13,90,46,99
49,35,106,4,20,126,90,62,94,63
39,10,121,7,65,1,100,43,49,87
44,39,30,43,7,46,86,100,4,38
70,126,64,33,100,98,43,79,107,4
56,90,4,126,100,120,17,121,86,42
59,53,121,60,119,90,46,110,106,129
119,95,111,49,98,30,120,114,39,110
32,39,64,43,120,126,62,111,4,59
120,32,13,98,86,33,100,11,39,70
119,32,39,30,96,36,48,83,46,79
121,110,49,43,48,94,56,100,96,86
93,74,79,9,96,65,102,4,42,86
11,41,104,107,90,84,19,65,54,88
86,49,38,17,111,85,39,88,93,19
45,107,77,64,92,23,97,88,48,58
47,100,106,112,36,49,110,74,58,114
4,17,26,86,7,9,120,89,33,49
30,104,77,53,110,49,121,119,63,95
86,30,53,126,95,49,64,32,15,120
77,121,65,107,93,16,102,52,49,110
62,77,43,49,66,71,23,120,5,95
120,74,77,3,65,17,110,41,90,78
39,68,95,86,40,15,46,33,128,121
